primaBot/2207-1/0.8 ARR/data/m_2022Jun.csv
sampling,up_since,batt,signal_quality,tick,tipping_factor
"2022-06-11T12:30:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:35:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:40:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:45:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:50:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T12:55:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:00:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:05:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:10:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:15:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:20:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:25:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:30:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:35:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:40:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:45:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:50:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T13:55:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T14:00:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T14:05:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T14:10:00+07", "2022-06-10T17:19:07+07",12.2, 15, 0, 0.2
"2022-06-11T14:15:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T14:20:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T14:25:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T14:30:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T14:35:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T14:40:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T14:45:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T14:50:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T14:55:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T15:00:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T15:05:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T15:10:00+07", "2022-06-10T17:19:07+07",12.2, 15, 0, 0.2
"2022-06-11T15:15:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T15:20:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T15:25:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T15:30:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T15:35:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
